row_id,source_image,rarity,car_name,ws_exclusive,xcl,rate_of_rarity_percent,qty,sell_for_cr,total_sell_value_cr,verified
1,통계4.webp,Epic,2007 Alfa Romeo 8C Competizione,no,unknown,1.3,7,156000,1092000,false
2,통계4.webp,Epic,2015 Alumicraft Class 10 Race Car,no,unknown,1.1,6,22500,135000,false
3,통계4.webp,Epic,2021 Alumicraft #122 Class 1 Buggy,no,unknown,1.3,7,80000,560000,false
4,통계4.webp,Epic,2022 Alumicraft #6165 Trick Truck,no,unknown,0.7,4,150000,600000,false
5,통계4.webp,Epic,2013 Ariel Atom 500 V8,no,unknown,0.5,3,95000,285000,false
6,통계4.webp,Epic,2017 Aston Martin DB11,no,unknown,0.7,4,87500,350000,false
7,통계4.webp,Epic,2019 Aston Martin DBS Superleggera,yes,unknown,0.9,5,137500,687500,false
8,통계4.webp,Epic,1983 Audi Sport quattro,yes,unknown,1.1,6,325000,1950000,false
9,통계4.webp,Epic,2009 Audi RS6,no,unknown,0.5,3,21000,63000,false
10,통계4.webp,Epic,2013 Audi RS7 Sportback,no,unknown,1.1,6,27500,165000,false
11,통계4.webp,Epic,2016 Audi R8 V10 plus,no,unknown,0.5,3,80000,240000,false
12,통계4.webp,Epic,2014 BAC Mono,no,unknown,0.9,5,98000,490000,false
13,통계4.webp,Epic,2016 Bentley Bentayga,yes,unknown,1.5,8,125000,1000000,false
14,통계4.webp,Epic,2010 BMW M3 GTS,no,unknown,0.9,5,99000,495000,false
15,통계4.webp,Epic,2016 BMW M4 GTS,no,unknown,0.7,4,62500,250000,false
16,통계4.webp,Epic,2020 BMW M2 Competition Coupé,yes,unknown,0.9,5,125000,625000,false
17,통계4.webp,Epic,2024 BMW X6 M Competition,no,unknown,0.5,3,70000,210000,false
18,통계4.webp,Epic,2019 Casey Currie Motorsports #4402 Ultra 4 Trophy Jeep,yes,unknown,1.1,6,125000,750000,false
19,통계4.webp,Epic,1960 Chevrolet Corvette,yes,unknown,0.5,3,125000,375000,false
20,통계4.webp,Epic,1970 Chevrolet Corvette ZR-1,no,unknown,1.1,6,125000,750000,false
